signal_id,direction,entry_bar,exit_bar,entry_price,exit_price,stop_loss,take_profit,confluence_score,exit_reason,bars_held,pnl_price,pnl_price_raw,r_multiple,initial_risk,spread_cost,slippage_cost,commission,components,cmp_BOS,cmp_FVG,cmp_OrderBlock,cmp_Regime,cmp_News,cmp_Volume,cmp_Momentum,cmp_RSI_Divergence,cmp_HTF_Alignment
87b0c2d3b8c3,SHORT,2025-10-22 00:15:00,2025-10-22 00:30:00,4049.1,4075.4385,4090.17,3946.42,56.131681597004956,regime_shifted,1,-31.8473,-26.3385,-0.775,41.07,3.2498,2.2589,0.0,"{'BOS': 7.5, 'FVG': 15.0, 'OrderBlock': 0.0, 'Regime': 13.792, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",7.5,15.0,0.0,13.792,0.0,0.0,3.0,0.0,0.0
afdb0364655d,LONG,2026-01-28 23:15:00,2026-01-28 23:30:00,5490.38,5531.226500000001,5440.67,5614.64,56.28591604174069,regime_shifted,1,32.4301,40.8465,0.652,49.71,4.4086,4.0078,0.0,"{'BOS': 7.5, 'FVG': 15.0, 'OrderBlock': 0.0, 'Regime': 13.9, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",7.5,15.0,0.0,13.9,0.0,0.0,3.0,0.0,0.0
0daf7d60c8f8,LONG,2026-01-29 02:00:00,2026-01-29 02:15:00,5522.41,5525.76,5448.26,5707.79,57.04931398078882,regime_shifted,1,-6.305,3.35,-0.085,74.15,4.4193,5.2358,0.0,"{'BOS': 7.5, 'FVG': 0.0, 'OrderBlock': 8.322, 'Regime': 21.25, 'News': 0.0, 'Volume': 0.0, 'Momentum': 2.862, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",7.5,0.0,8.322,21.25,0.0,0.0,2.862,0.0,0.0
032f71085a31,SHORT,2026-01-29 15:30:00,2026-01-29 15:45:00,5121.6,5182.825,5237.36,4832.21,55.01837580157978,regime_shifted,1,-70.7301,-61.225,-0.611,115.76,1.5457,7.9594,0.0,"{'BOS': 7.5, 'FVG': 15.0, 'OrderBlock': 0.0, 'Regime': 13.013, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",7.5,15.0,0.0,13.013,0.0,0.0,3.0,0.0,0.0
061f0ad641e2,SHORT,2026-01-30 08:00:00,2026-01-30 08:15:00,5145.73,5152.47,5228.76,4938.14,55.41867343510982,regime_shifted,1,-13.8465,-6.74,-0.167,83.03,1.5447,5.5617,0.0,"{'BOS': 7.5, 'FVG': 0.0, 'OrderBlock': 9.947, 'Regime': 19.704, 'News': 0.0, 'Volume': 0.0, 'Momentum': 1.642, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",7.5,0.0,9.947,19.704,0.0,0.0,1.642,0.0,0.0
2515b1ac6a3c,SHORT,2026-01-30 09:30:00,2026-01-30 09:45:00,4976.8,5013.6585,5083.05,4711.17,59.1069169478795,regime_shifted,1,-45.4462,-36.8585,-0.428,106.25,1.4986,7.0891,0.0,"{'BOS': 7.5, 'FVG': 0.0, 'OrderBlock': 10.0, 'Regime': 20.875, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",7.5,0.0,10.0,20.875,0.0,0.0,3.0,0.0,0.0
1b0e52601773,SHORT,2026-02-01 23:15:00,2026-02-01 23:30:00,4729.96,4774.895,4853.94,4419.99,66.69298440992075,regime_shifted,1,-56.4712,-44.935,-0.455,123.98,3.8019,7.7343,0.0,"{'BOS': 7.5, 'FVG': 15.0, 'OrderBlock': 0.0, 'Regime': 21.25, 'News': 0.0, 'Volume': 0.0, 'Momentum': 2.935, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",7.5,15.0,0.0,21.25,0.0,0.0,2.935,0.0,0.0
68488f89aed8,SHORT,2026-02-02 01:15:00,2026-02-02 01:30:00,4697.46,4715.208500000001,4842.1,4335.86,61.57432771534098,regime_shifted,1,-30.4022,-17.7485,-0.21,144.64,3.7651,8.8887,0.0,"{'BOS': 7.5, 'FVG': 11.662, 'OrderBlock': 0.0, 'Regime': 21.25, 'News': 0.0, 'Volume': 0.0, 'Momentum': 2.69, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",7.5,11.662,0.0,21.25,0.0,0.0,2.69,0.0,0.0
e3d0e39268c9,SHORT,2026-02-02 03:30:00,2026-02-02 03:45:00,4665.18,4646.898,4792.39,4347.15,59.25253039581381,regime_shifted,1,6.861,18.282,0.054,127.21,3.7248,7.6961,0.0,"{'BOS': 7.5, 'FVG': 0.0, 'OrderBlock': 10.0, 'Regime': 21.25, 'News': 0.0, 'Volume': 0.0, 'Momentum': 2.727, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",7.5,0.0,10.0,21.25,0.0,0.0,2.727,0.0,0.0
601a4cc28ac6,SHORT,2026-02-02 06:45:00,2026-02-02 07:00:00,4505.71,4537.200000000001,4640.77,4168.05,59.547084135128394,regime_shifted,1,-43.0877,-31.49,-0.319,135.06,3.6172,7.9805,0.0,"{'BOS': 7.5, 'FVG': 0.0, 'OrderBlock': 10.0, 'Regime': 21.25, 'News': 0.0, 'Volume': 0.0, 'Momentum': 2.933, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",7.5,0.0,10.0,21.25,0.0,0.0,2.933,0.0,0.0
ee6b993c73c4,LONG,2026-02-03 06:30:00,2026-02-03 06:45:00,4891.51,4881.41,4832.44,5039.2,55.2960994031851,regime_shifted,1,-17.7747,-10.1,-0.301,59.07,3.9092,3.7656,0.0,"{'BOS': 7.5, 'FVG': 11.503, 'OrderBlock': 0.0, 'Regime': 16.77, 'News': 0.0, 'Volume': 0.0, 'Momentum': 2.935, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",7.5,11.503,0.0,16.77,0.0,0.0,2.935,0.0,0.0
d5ae58cf68d0,SHORT,2026-03-03 14:45:00,2026-03-03 15:00:00,5038.74,5039.9885,5121.45,4831.96,64.30681933310942,regime_shifted,1,-8.2155,-1.2485,-0.099,82.71,1.5118,5.4552,0.0,"{'BOS': 7.5, 'FVG': 15.0, 'OrderBlock': 0.0, 'Regime': 19.515, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",7.5,15.0,0.0,19.515,0.0,0.0,3.0,0.0,0.0
56214af26ed8,SHORT,2026-03-19 13:00:00,2026-03-19 13:15:00,4538.66,4576.35,4603.87,4375.64,59.642857142857146,regime_shifted,1,-43.0444,-37.69,-0.66,65.21,1.3673,3.9871,0.0,"{'BOS': 7.5, 'FVG': 0.0, 'OrderBlock': 10.0, 'Regime': 21.25, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",7.5,0.0,10.0,21.25,0.0,0.0,3.0,0.0,0.0
75b7c5db6828,SHORT,2026-03-23 01:00:00,2026-03-23 01:15:00,4408.05,4421.965,4486.89,4210.95,55.72506771961212,regime_shifted,1,-21.9795,-13.915,-0.279,78.84,3.532,4.5325,0.0,"{'BOS': 7.5, 'FVG': 0.0, 'OrderBlock': 10.0, 'Regime': 18.644, 'News': 0.0, 'Volume': 0.0, 'Momentum': 2.863, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",7.5,0.0,10.0,18.644,0.0,0.0,2.863,0.0,0.0
f4f79eb01e5a,SHORT,2026-03-23 06:00:00,2026-03-23 06:15:00,4294.79,4243.665,4354.63,4145.18,55.11180801010167,regime_shifted,1,44.2123,51.125,0.739,59.84,3.4154,3.4973,0.0,"{'BOS': 7.5, 'FVG': 8.02, 'OrderBlock': 0.0, 'Regime': 20.059, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",7.5,8.02,0.0,20.059,0.0,0.0,3.0,0.0,0.0
af2b3ab00196,SHORT,2026-03-23 07:00:00,2026-03-23 07:15:00,4130.8,4135.875,4214.19,3922.31,59.642857142857146,regime_shifted,1,-12.9558,-5.075,-0.155,83.39,3.3067,4.5741,0.0,"{'BOS': 7.5, 'FVG': 0.0, 'OrderBlock': 10.0, 'Regime': 21.25, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",7.5,0.0,10.0,21.25,0.0,0.0,3.0,0.0,0.0
e7c4d3136e87,SHORT,2026-03-23 08:45:00,2026-03-23 09:00:00,4251.29,4269.09,4345.24,4016.41,57.36649362118675,regime_shifted,1,-24.2064,-17.8,-0.258,93.95,1.2781,5.1283,0.0,"{'BOS': 7.5, 'FVG': 0.0, 'OrderBlock': 10.0, 'Regime': 21.25, 'News': 0.0, 'Volume': 0.0, 'Momentum': 1.407, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",7.5,0.0,10.0,21.25,0.0,0.0,1.407,0.0,0.0
46839bc5fb13,SHORT,2026-04-02 06:00:00,2026-04-02 06:15:00,4580.93,4591.455,4627.3,4464.98,60.70137479124227,regime_shifted,1,-16.9776,-10.525,-0.366,46.37,3.669,2.7837,0.0,"{'BOS': 7.5, 'FVG': 15.0, 'OrderBlock': 0.0, 'Regime': 16.991, 'News': 0.0, 'Volume': 0.0, 'Momentum': 3.0, 'RSI_Divergence': 0.0, 'HTF_Alignment': 0.0}",7.5,15.0,0.0,16.991,0.0,0.0,3.0,0.0,0.0
